Apr_AC1,Post_AC1,FD1,FD2,AI1,Apr_AC2,Post_AC2,POLO,STATUS
1,0.8,0.6,0.4,1,0.875,0.8,URUCUIA,Aprov
1,0.75,0.6,0.6,0.888889,0.875,0.7,VARZEA_DA_PALMA,Aprov
1,0.7,0.2,0.4,1,0.875,0.7,VARZEA_DA_PALMA,Aprov
1,0.65,0.6,0.6,0.777778,0.875,0.8,VARZEA_DA_PALMA,Aprov
1,0.7,0.4,0.4,0.888889,0.875,0,VARZEA_DA_PALMA,Aprov
1,0.8,0.6,0.6,0.666667,0.875,0.8,VARZEA_DA_PALMA,Aprov
1,0.8,0.4,0.4,1,0.875,0.7,VARZEA_DA_PALMA,Aprov
1,0.6,0.4,0.4,0.888889,0.875,0.7,VARZEA_DA_PALMA,Reprov
1,0.75,0.2,0.4,0.888889,0.875,0.7,VARZEA_DA_PALMA,Aprov
1,0.75,0.6,0.4,0.555556,0.875,0.7,VARZEA_DA_PALMA,Aprov
1,0.65,0.2,0,0.888889,0.875,0.8,VARZEA_DA_PALMA,Aprov
1,0.65,0.6,0.2,0.777778,0.875,0.8,VARZEA_DA_PALMA,Aprov
1,0.8,0.6,0.6,0.888889,0.875,0.8,VARZEA_DA_PALMA,Aprov
1,0.8,0.6,0.6,1,0.875,0.7,VARZEA_DA_PALMA,Aprov
1,0.75,0,0.6,0.777778,0.875,0.8,VARZEA_DA_PALMA,Aprov
1,0.7,0.6,0.6,0.777778,0.875,0.7,VARZEA_DA_PALMA,Aprov
1,0.75,0.4,0.6,0.888889,0.875,0.7,VARZEA_DA_PALMA,Aprov
1,0.7,0.6,0.6,0.888889,0.875,0.7,VARZEA_DA_PALMA,Aprov
0,0,0,0,0,0,0,VARZEA_DA_PALMA,Aprov
1,0.8,0.6,0.6,0.777778,0.875,0.8,VARZEA_DA_PALMA,Aprov
1,0.8,0.6,0.6,0.777778,0.875,0.8,VARZEA_DA_PALMA,Aprov
1,0.8,0.6,0.6,0.888889,0.875,0.7,VARZEA_DA_PALMA,Aprov
1,0.75,0.6,0.4,0.888889,0.875,0.8,VARZEA_DA_PALMA,Aprov
1,0.8,0.2,0.4,0.888889,0.875,0.8,VARZEA_DA_PALMA,Aprov
1,0.7,0.4,0.4,0.777778,0.875,0.7,VARZEA_DA_PALMA,Aprov
1,0.8,0.6,0.6,0.888889,0.875,0.8,VARZEA_DA_PALMA,Aprov
1,0.7,0.6,0.6,0.777778,0.875,0.7,VARZEA_DA_PALMA,Aprov
1,0.75,0.2,0.4,0.666667,0.875,0.7,VARZEA_DA_PALMA,Aprov
